"id","Default","en","ru"
"Address","Patient address","Patient address","Адрес пациента"
"Address.address","Address","Address","Адрес"
"Address.complement","Complement","Complement","Дополнительный адрес"
"Address.district","District","District","Район"
"Address.shipAddress","Shipping address","Shipping address","Адрес доставки"
"Address.zipCode","Zip code","Zip code","Почтовый индекс"
"AdministrativeUnit","Administrative unit","Administrative unit","Административная единица"
"AdministrativeUnit.parent","Parent admin. unit","Parent admin. unit","Административная единица родителя"
"AdministrativeUnit.pname0","Admin unit Level \#0","Admin unit Level \#0","Административная единица Уровень №0"
"AdministrativeUnit.pname1","Admin unit Level \#1","Admin unit Level \#1","Административная единица Уровень №1"
"AdministrativeUnit.pname2","Admin unit Level \#2","Admin unit Level \#2","Административная единица Уровень №2"
"AdministrativeUnit.pname3","Admin unit Level \#3","Admin unit Level \#3","Административная единица Уровень №3"
"AdministrativeUnit.unitsCount","Units count","Units count","Подсчет единиц"
"AgeRange","Age range","Age range","Возрастной диапазон"
"AgeRange.endAge","Final age","Final age","до"
"AgeRange.iniAge","Initial age","Initial age","от"
"Batch","Batch","Batch","Серия/партия"
"Batch.adjustBatchSuccess","Set completed!","Set completed!","Набор завершен"
"Batch.batchNumber","Batch number","Batch number","Номер серии/партии"
"Batch.brandName","Brand name","Brand name","Торговое/патентованное название"
"Batch.cantAdjustBatch","No adjustment was made.","No adjustment was made.","Изменений не было сделано"
"Batch.expiryDate","Expiration date","Expiration date","Срок годности"
"Batch.manufacturer","Manufacturer","Manufacturer","Производитель"
"Batch.numContainers","Number of boxes","Number of boxes","Количество упаковок"
"Batch.quantityContainer","Quantity per box","Quantity per box","Количество единиц в упаковке"
"Batch.quantityReceived","Received qty","Received qty","Полученное количество"
"Batch.remainingQuantity","Available qty","Available qty","Количество в наличии"
"Batch.reservedQuantity","Reserved quantity","Reserved quantity","Зарезенвированное количество"
"CaseClassification","Classification","Classification","Классификация"
"CaseClassification.DRTB","DR-TB Case","DR-TB Case","Cлучай МЛУ ТБ"
"CaseClassification.DRTB.confirmed","DR-TB Case","Confirmed DR-TB Case","Подтвержденный резистентный-туберкулезный случай"
"CaseClassification.DRTB.suspect","Presumptive DR-TB","Presumptive DR-TB","Случай с предполагаемой лекарственной устойчивостью"
"CaseClassification.NTM","NTM Case","NTM Case","Случай NTM"
"CaseClassification.NTM.confirmed","NMT Case","Confirmed NTM Case","Подтвержденный случай  NТМ (нетуберкулезная микобактерия)"
"CaseClassification.NTM.suspect","Presumptive NTM","Presumptive NTM","NMT подозреваемый"
"CaseClassification.TB","TB Case","TB Case","Cлучай ТБ"
"CaseClassification.TB.confirmed","TB Case","Confirmed TB Case","Подтвержденный туберкулезный случай"
"CaseClassification.TB.suspect","Presumptive TB","Presumptive TB","TB подозреваемый"
"CaseContact.conduct","Action Plan","Action Plan","Действие"
"CaseContact.contactType","Type of contact","Type of contact","Тип контакта"
"CaseContact.dateOfExamination","Examination Date","Examination Date","Дата обследования"
"CaseContact.dateofexamination","Examination Date","Examination Date","Дата"
"CaseContact.examined","Clinical evaluation","Clinical evaluation","Осмотр проведен"
"CaseContact.name","Contact's name","Contact's name","Ф.И.О. контакта"
"CaseDefinition","Case definition","Case definition","Определение случая заболевания"
"CaseDefinition.BACTERIOLOGICALLY_CONFIRMED","Bacteriologically confirmed case","Bacteriologically confirmed case","Бактериологически подтвержденный случай"
"CaseDefinition.CLINICALLY_DIAGNOSED","Clinically diagnosed case","Clinically diagnosed case","Клинически диагностированный случай"
"CaseState","Case status","Case status","Статус случая"
"CaseState.CURED","Cured","Cured","Выздоровел"
"CaseState.CLOSED","Closed","Closed","Закрыто"
"CaseState.DEFAULTED","Lost to follow up","Lost to follow up","Лечение прервано"
"CaseState.DIAGNOSTIC_CHANGED","Diagnosis changed","Diagnosis changed","Диагноз изменен"
"CaseState.DIED","Died","Died","Смерть"
"CaseState.DIED_NOTTB","Died from other causes","Died from other causes","Смерть по другой причине"
"CaseState.FAILED","Treatment failed","Treatment failed","Неудача лечения"
"CaseState.MDR_CASE","Category IV (DR-TB)","Category IV (DR-TB)","Категория IV (ЛУ-ТБ)"
"CaseState.MOVED_SECONDLINE","Moved to second-line treatment register","Moved to second-line treatment register","Перенесен в журнал регистрации для терапии второй линии "
"CaseState.NOT_CONFIRMED","Not confirmed","Not confirmed","Не подтвержден"
"CaseState.NOT_EVALUATED","Not evaluated","Not evaluated","Не исследованный "
"CaseState.NOT_ONTREATMENT","Waiting to start treatment","Waiting to start treatment","В ожидании лечения"
"CaseState.NOT_TB","Not TB","Not TB","не ТБ"
"CaseState.ONTREATMENT","On treatment","On treatment","На лечении"
"CaseState.OTHER","Other","Other","Другое"
"CaseState.REGIMEN_CHANGED","Regimen changed","Regimen changed","Схема лечения изменена"
"CaseState.TRANSFERRED_OUT","Transferred out","Transferred out","Пациент выписан"
"CaseState.TRANSFERRING","Transferring to another unit","Transferring to another unit","Переводится в другое медучреждение"
"CaseState.TREATMENT_COMPLETED","Treatment completed","Treatment completed","Лечение завершено"
"CaseState.TREATMENT_INTERRUPTION","Treatment interrupted","Treatment interrupted","Лечение прервано"
"CaseState.TREATMENT_REFUSED","Refused to be treated","Refused to be treated","Отказ на лечение"
"CaseValidationOption","Case validation settings","Case validation settings","Учреждения для подтверждения случаев"
"CaseValidationOption.DISABLED","Disabled","Disabled","Не действует"
"CaseValidationOption.ENABLED","Enabled","Enabled","действует"
"CaseValidationOption.REQUIRED_BEFORE_TREATMENT_START","Enabled and required before treatment starts","Enabled and required before treatment starts","Действует и требуется до начала лечения"
"CountryStructure","Country structure","Country structure","Структура страны"
"CultureResult","Culture result","Culture result","Результат культурального исследования"
"CultureResult.CONTAMINATED","Contaminated","Contaminated","Загрязнение (контаминация)"
"CultureResult.NEGATIVE","Negative","Negative","Отрицательный"
"CultureResult.NOTDONE","Not done","Not done","Не проводилось"
"CultureResult.NTM","NTM (Non-tuberculous mycobacteria)","NTM (Non-tuberculous mycobacteria)","Нетуберкулезная микобактерия"
